ID	Name	Geolocatiion_latitude	Geolocatiion_longitude	Ownership	AddressNum	Street	City	State	Zipcode	YearMonumentalized	YearBuilt	Category	Type	Status	Gender	Ethnicity	Controversy	Vandalized	Comments	Source	ImageFileName	Copyright
255	Daniel Webster (Boston)	-71.064333	42.358752		24	Beacon St	Boston	MA	2114		1859	Statue		Original Location	male	white						
295	David Farragut (Boston)	-71.023959	42.335814		911	E Broadway St	Boston	Ma		1891		Statue		Original Location	male	white						
296	David I. Walsh	-71.074283	42.356167									Statue		Original Location	male	white						
256	Edward Everett Hale	-71.068656	42.354504		16	Charlest St	Boston	MA	2108		1913	Statue		Original Location	male	white						
306	General George Patton Statue	-71.073446	42.356905				Boston	MA	2114		1953	Statue		Original Location	male	white						
307	General Warren	-71.060455	42.376019				Boston	MA	2129			Statue			male	white						
309	George S. Patton (Boston)	-71.073427	42.356907			Charles River Esplanade	Boston	MA	2114		1953	Statue		Original Location	male	white						
314	George Thorndike Angell Memorial	-71.0557	42.3569		10	Post Office Square	Boston	MA	2109		"1913, 1992"	Statue		Original Location	male	white			was renamed in honor of him in 1992			
315	George Washington Statue	-71.07094	42.353826			Boston Public Garden	Boston	MA	2116		1864	Statue		Original Location	male	white						
257	Henry Cabot Lodge	-71.063792	42.357679		28	Beacon St	Boston	MA	2114		1930	Statue		Original Location	male	white						
317	Henry Cabot Lodge	-71.064132	42.357662				Boston	MA	2108		1930	Statue		Original Location	male	white						
318	Horace Mann	-71.06375	42.357867				Boston	MA	2108		1863	Statue		Original Location	male	white						
324	James Michael Curley	-71.03423	42.21636									Statue			male	white						
325	John Barry Tablet	-71.03787	42.21332									Plaque/Historic Marker		Original Location	male	white						
326	John Boyle O'Reilly Memorial	-71.09099	42.346266			Fenway	Boston	MA	2215		1896	Statue		Original Location	male	white						
258	John Endecott	-71.093227	42.340478		420	Forsyth Way	Boston	MA	2115		1936	Statue		Original Location	male	white						
259	John F. Kennedy (Boston)	-71.064101	42.357952		24	Beacon St	Boston	MA	2114		1988	Statue		Original Location	male	white						
313	John F. Kennedy (Boston)	-71.064342	42.358687		24	Beacon St	Boston	MA	2133		1988	Statue			male	white						
260	John Glover	-71.074639	42.35277		60	Commonwealth Ave	Boston	MA	2116		1886	Statue		Original Location	male	white						
261	John Harvard	-71.117084	42.374428		1	Harvard Yard	Cambridge	MA	2138		1884	Statue		Original Location	male	white	https://en.wikipedia.org/wiki/Statue_of_John_Harvard some disputes- come back to this	pee!				
262	John Singleton Copley	-71.076733	42.350235		577	Boylston St	Boston	MA	2116		2002	Statue		Original Location	male	white			-			
263	John Winthrop	-71.074612	42.353728		66	Marlborough St	Boston	MA	2116		1880	Statue		Relocated	male	white			It was burned down/toppled/rebuilt			
333	Kevin White	-71.056883	42.359996		19	North St	Boston	MA	2109		2006	Statue		Original Location	male	white						
264	Kevin White	-71.056931	42.360037		19	North St	Boston	MA	2109		2006	Statue		Original Location	male	white						
335	Leif Erickson Statue	-71.091329	42.349033			Commonwealth Ave	Boston	MA	2215		1887	Statue		Original Location	male	white						
265	Leif Erikson (Boston)	-71.091389	42.349028		847	Charlesgate E	Boston	MA	2215		1887	Statue		Original Location	male	white						
349	Paul Revere Statue	-71.0532	42.365538			Paul Revere Mall	Boston	MA	2113		1885	Statue		Original Location	male	white						
268	Phillips Brooks	-71.075349	42.349882		206	Clarendon St	Boston	MA	2116		1910	Statue		Original Location	male	white						
269	Red Auerbach	-71.054217	42.36		435	S Market St	Boston	MA	2109		1985	Statue		Original Location	male	white						
270	Richardson Block	-71.054113	42.355036		109-15	Pearl Street	Boston	MA				Building			male	white				"The Richardson Block is an historic block of commercial buildings at 113-151 Pearl and 109-119 High Streets in Boston, Massachusetts. It consists of a series of buildings constructed in the aftermath of the Great Boston Fire of 1872. The first of these buildings, at the corner of Pearl and High Streets, was designed by William Preston and built in 1873 for Jeffrey Richardson,"		
354	Robert Burns (Boston)	-71.057877	42.354679		1	Winthrop Square			2110			Statue		relocated	male	white			"The statue of Robert Burns and his faithful dog, Luath, was created by sculptor Henry Hudson Kitson in 1920 and originally situated in the Back Bay Fens near sculptor Daniel Chester French’s monument to Irish poet John Boyle O’Reilly. The juxtaposition of the two works was deliberate and meant to recognize Scottish and Irish literary tradition in a pastoral setting reminiscent of their work. The sculpture was moved to Winthrop Square in 1975 and after a prolonged community effort was finally returned to its rightful place in the Fens on October 30, 2019. Source City Of Boston: https://www.boston.gov/news/robert-burns-statue-returned-back-bay-fens"			
366	Tadeusz Kosciuszko Statue	-71.069022	42.352471			Boston Public Garden	Boston	MA	2116		1927	Statue		Original Location	male	white						
369	Thomas Cass	-71.0695635	42.3526039			Boston Public Garden	Boston	MA	2116		1899	Statue		Original Location	male	white						
370	Tony DeMarco	-71.05557	42.362724		218-198	Hanover St	Boston	MA	2113			Statue		Original Location	male	white			"Tony DeMarco is a former world welterweight champion and was inducted into the International Boxing Hall of Fame in 2018. he was a 5-foot-5-inch Italian-American who grew up in Boston’s North End, became a professional boxer at the age of 16 and defeated many of the top lightweights of his era before beating Johnny Saxton in a sold-out fight at Boston Garden to become welterweight champion in 1955. DeMarco retired in 1962 with a record of 58-12-1 (33 KOs). Source Boston Globe https://www.bostonglobe.com/sports/2018/12/05/tony-demarco-gets-call-boxing-hall-fame/5PlZIUY2FiYTdQHZnTXVFK/story.html"			
373	Wendell Phillips Statue	-71.0683	42.352706			Boston Public Garden	Boston	MA	2116		1914	Statue		Original Location	male	white						
270	William Lloyd Garrison	-71.079064	42.351585			Commonwealth Ave	Boston	MA	2116		1886	Statue		Original Location	male	white						
375	William Lloyd Garrison Memorial Statue	-71.079104	42.351915		153-191	MA-2	bsoton	MA	2116			Statue		Original Location	male	white			"William Lloyd Garrison (1805-1879) was an influential advocate for the abolitionist movement in the United States, who argued unequivocally for immediate emancipation of slaves through public lectures and editorials in his newspaper, the Liberator, founded in 1830. Source National Park Service: https://www.nps.gov/nr/travel/underground/ma2.htm"			
367	The Founders Memorial	-71.063869	42.355702				Boston	MA	2108			Statue		Original Location	male	White / Native American			"In the scene William Blackstone, first European settler, is welcoming John Winthrop, the first governor of the Massachusetts Bay Colony to the Shawmut peninsula. Watching the scene are Native Americans and Ann Pollard, the first white woman to land in Boston. William Blackstone’s face is rumored to be modeled on Boston Mayor John Michael Curley.Source: https://friendsofthepublicgarden.org/2018/08/17/founders-memorial-gets-a-freshening-up-august-1-2018/"			
290	Cardinal Cushing Memorial Park	-71.062498	42.3615867									Public Space		Original Location	male					https://www.boston.gov/parks-and-playgrounds?title=Cardinal%20Cushing%20Park		
291	Charles Devens Statue	-71.073502	42.3564349							1986		Statue			male				"A standing portrait of Charles Devens resting his proper left hand on his proper left hip. He is dressed in his military uniform which consist of a hat, long coat, and boots. A sash is tied around his waist and the tassels hang down on his proper left side."	https://siris-artinventories.si.edu/ipac20/ipac.jsp?&profile=ariall&source=~!siartinventories&uri=full=3100001~!299615~!0#focus		
289	Bust of Richard Cushing	-71.062402	42.3614826							1980		Statue		Original Location	male				"The bust of Richard Cardinal Cushing rests atop a small grey granite which sits on top of a tall, square red granite column."	https://siris-artinventories.si.edu/ipac20/ipac.jsp?&profile=ariall&source=~!siartinventories&uri=full=3100001~!299637~!0#focus		
276	Army Nurses Memorial	-71.06381	42.3587772							1914		Statue		Original Location	1 Male/ 1 Female				"Figure of a nurse offering a cup of water to a soldier who is lying on the ground with his head in the nurse's lap. The pedestal is bound on three sides by a wall surmounted by a balustrade, and each end of the enclosure has a wide seat."	https://siris-artinventories.si.edu/ipac20/ipac.jsp?&profile=ariall&source=~!siartinventories&uri=full=3100001~!18325~!0#focus		
282	Ether Monument	-71.071446	42.354816			Arlington St & Marlborough St	Boston	MA	2116		1868	Statue		Original Location	male							
297	Charlestown Civil War Memorial	-71.059938	42.374484							1872		Statue			2 Male/ 1 Female				"A group of three figures on pedestal and base. Depicted is a female figure representing Liberty holding a laurel wreath in each hand. In front of her are standing figures of a soldier and a sailor. Monument was erected in honor of the men of Charlestown, who fought for the preservation of the Union. It is located in the Charlestown training field, where the minute men trained during the American Revolution."	https://siris-artinventories.si.edu/ipac20/ipac.jsp?&profile=ariall&source=~!siartinventories&uri=full=3100001~!297744~!0#focus		
322	Boston Irish Famine Memorial	-71.058598	42.3573573							1998		Statue		Original Location	4 Male/ 2 Female				"Boston Irish Famine Memorial by Artist: Robert Shure - Commissioned by: Boston Irish Famine Memorial Committee and City of Boston; Inscriptions - (Monument 1) Arriving in Boston- In 1847 alone, 37,000 Irish refugees / landed in Boston, on the edge of / death and despair, impoverished / and sick. “Native Bostonians might / have been willing to send money / and food to aid the starving Irish / as long as they remained in / Ireland,” wrote historian Thomas H. / O’Connor, “but they certainly didn’t / want them coming to America.” The / newcomers moved in along Boston’s / waterfront, packed together in damp / cellars and overcrowded hovels. / “Children in the Irish district.” / wrote Bostonian Lemuel Shattuck, / “seemed literally born to die.” (Monument 2) Crossing the bowl of tears - In a frantic attempt to outwit death, / nearly two million people fled / Ireland. “Many thousands of peas- / ants who could still scrape up the / means fled to the sea, as if pursued / by wild beasts, and betook them- / selves to America.” wrote Irish / patriot John Mitchel. The emigrants / boarded vessels so unseaworthy / they were called Coffin Ships. So / many passengers died at sea that / poet John Boyle O’Reilly called the / Atlantic Ocean upon which they / journeyed “a bowl of tears.”(Monument 3) The American dream - Despite hostility from some Boston- / ians and signs of NO IRISH NEED / APPLY, the Famine Irish eventually / transformed themselves from im- / poverished refugees to hard-working, / successful Americans. The leader- / ship of Boston Irish like John Boyle / O’Reilly, Patrick Collins and Richard / Cardinal Cushing culminated in a / descendent of the famine gener- / ation, John F. Kennedy, becoming the / nation’s first Irish Catholic President / in 1960. Today 44 million Americans / claim Irish ancestry, leading the / nation in Medal of Honor winners, / and excelling in literature, sports, / business, medicine, medicine and entertainment.(Monument 4) An Gorta Mor - The great famine which ravaged Ireland / between 1845-50 was the major catastrophe / of the 19th century. It brought horrific suf- / fering and loss to Ireland’s 8.5 million / people. Over one million died of starvation / and disease. Another two million emigrated, / seeking sanctuary in Boston and other / North American cities. Those remaining in / Ireland suffered poverty, eviction, and the / decimation of their culture. This memorial / remembers the famine, known in Irish as An Gorta Mór (The Great Hunger). It depicts / the Irish exodus from their homeland, their / arrival in Boston and ultimate triumph over / adversity in America. It was dedicated on / June 28, 1998, as part of the 150th anni- / versary of The Great Hunger."	https://irishfaminememorials.com/2014/01/16/boston-massachusetts-1998/		
364	Statler Fountain	-71.068961	42.350831				Boston	MA	2116			Statue		Original Location	female							
302	Domingo Faustino Sarmiento	-71.085147	42.349967								1973	Statue		Original Location	male							
303	Firemen's Memorial	-71.10881	42.29241								1909	Statue		Original Location	male							
304	General Michael Joseph Galvin	-71.063842	42.371512			New Rutherford Ave	Boston	MA	2129			Statue		Original Location	male							
311	John Bridge	-71.120559	42.377745									Statue		Original Location	male							
312	John Endecott	-71.09674	42.338838									Statue		Original Location	male							
328	John Harvard Statue	-71.117059	42.374662									Statue		Original Location	male							
329	John Singleton Copley	-71.076648	42.350311									Statue		Original Location	male							
331	"Joseph Warren (Charlestown, Boston)"	-71.060815	42.376617									Statue		Original Location	male							
332	Josiah Quincy III	-71.059292	42.359615									Statue		Original Location	male				"Josiah Quincy (1772-1864)was an author, educator, and politician. Josiah Quincy is best known for his work as Mayor of Boston from 1823 to 1828. He promoted what is now referred to as urban renewal or urban revitalization."			
336	Lincoln Statue	-71.067972	42.351825									Statue		Original Location	male							
337	Louis Brandeis Statue	-71.259789	42.36671									Statue		Original Location	male							
338	Major General Joseph Hooker	-71.063832	42.359007									Statue		Original Location	male		yes					
339	Marvin E. Goody Memorial	-71.070439	42.354429									Statue		Original Location	male							
343	Maurice J. Tobin	-71.074372	42.356957									Statue		Original Location	male							
350	Phillips Brooks	-71.075507	42.35025									Statue		Original Location	male							
351	Poe Returning to Boston	-71.067248	42.35346				Boston					Statue		Original Location	male				"The statue, a bronze-based figure carved to look as though Poe is rushing down Boylston Street at the intersection of Charles Street South, a small section of the city that was dubbed “Edgar Allan Poe Square” by former Mayor Tom Menino’s administration, was created by artist Stefanie Rocknak, and is flanked by bits of paper falling from the author’s briefcase. Flying next to Poe is a giant raven, bursting from his baggage. A heart, representing his well-known work The Tell-Tale Heart, is plopped on a pile of books behind Poe’s flowing coat. Source: Boston Magazine bostonmagazine.com/arts-entertainment/2014/10/06/edgar-allan-poe-comes-back-boston/"			
352	Pope John Paul II Memorial (Boston)	-71.068098	42.354873						2108			Statue		Original Location	male							
353	Red Auerbach	-71.054786	42.360478		7	N Market St			2109			Statue		Original Location	male							
355	Robert Gould Shaw Memorial	-71.063475	42.357728		26	Beacon St			2108			Statue		Original Location	male							
356	Robert Stow Bradley Jr. Memorial	-71.117175	42.373119				Cambridge	MA	2138			Statue		Original Location	male							
360	Samuel Eliot Morison Statue	-71.082961	42.350753			commonwealth	Boston	MA				Statue		Original Location	male							
361	Sean Collier Memorial	-71.090099	42.362516		28-12	Vassar St	Cambridge	MA	2142			Statue		Original Location	male							
362	Small Child Fountain	-71.070417	42.354445				Boston	MA	2116			Statue		Original Location	male							
363	Soldiers and Sailors Monument	-71.066445	42.355736				Boston	MA	2108			Statue		Original Location	male				"This massive monument is dedicated to the namesake soldiers and sailors who died in the Civil War. The four bronze statues represent Peace, History, the Soldier and the Sailor. Source :https://www.lonelyplanet.com/usa/boston/attractions/soldiers-sailors-monument/a/poi-sig/1076304/362022"			
365	"Soldiers' Monument (Worcester, Massachusetts)"	-71.800029	42.262427				Worcester	MA	1608			Statue		Original Location	male							
374	William Ellery Channing Statue	-71.070691	42.352424				Boston	MA	2116			Statue		Original Location	male			YES	"William Ellery Channing, (1780-1842) Unitarian clergyman Channing was a leading figure in the development of New England Transcendentalism and of organized attempts in the U.S. to eliminate slavery, drunkenness, poverty, and war. He studied theology in Newport and at Harvard and soon became a successful preacher in various churches in the Boston area. From June 1, 1803, until his death he was minister of the Federal Street Church, Boston. Someone adorned the statue of William Ellery Channing with a pink knit hat and scarf when tens of thousands of protesters rallied on Boston Common January 20, 2017 as part of the Women’s March for America, a reaction to the new presidency of Donald Trump. Source: Boston Globe https://www.bostonglobe.com/metro/2017/01/21/look-women-march-boston/uSJK85kkAUyFZv9EwOjwZK/story.html"			
378	World War II Memorial (Boston)	-71.093973	42.342395				Boson	MA	2215			Statue		Original Location	male			YES	"The South Boston WWII Memorial was vandalized on March 19, 2019. A substance believed to be some type of oil was poured onto the statue. The memorial is a porous granite structure. The names of over 200 South Boston residents who fought and died for the U.S. during World War II are engraved in it. Souce CBS https://boston.cbslocal.com/2019/03/18/boston-world-war-ii-memorial-vandalized-oil-castle-island/"			
287	Boston Public Garden Flagpole Base	-71.0686051	42.3536143							1921		Object		Relocated	other				"Proposed to replace the flagpole destroyed by lightning in 1920, this base was designed by William Austen in 1921 and intended as a memorial to World War I. The original flagpole was located near the corner of Boylston Street and Arlington Street; and the replacement placed there as well. However, after commissioning this replacement, the city deemed the original site too congested and opted for a quieter corner of the garden. The flagpole was moved to its present location in 1933."	https://siris-artinventories.si.edu/ipac20/ipac.jsp?&profile=ariall&source=~!siartinventories&uri=full=3100001~!316650~!0#focus		
381	"""Hear Us"", State House Women, Leadership Project"	-71.063732	42.3582996										Women's Heritage Trail						"In 1996, the Massachusetts legislature recognized that the State House art collection included only a handful of images of women. They recommended that a new work of art be created to honor the contributions of women to public life in Massachusetts. Now permanently installed on a large wall just outside Doric Hall, the work depicts six women selected by an advisory committee. Dorothea Dix (1802-87); Lucy Stone (1818-93); Sarah Parker Remond (1814-94); Josephine St. Pierre Ruffin (1842-1924); Mary Kenney O'Sullivan (1864-1943); and Florence Luscomb (1887-1985) were chosen to represent all the women who dedicated themselves to improving life in the Commonwealth. The two-toned marble panels designed by artists Sheila Levrant de Bretteville and Susan Sellers include words written by the women etched on the stone and bronze busts cast from period photographs."			
382	10 Post Office Square	-71.056762	42.36143		10	10 Post Office Square	Boston	MA	2109		1923	Building		Original Location					".10 PO is located at the corner of Milk Street and Pearl Street in Boston’s Financial District, with frontage along the popular Park at Post Office Square and convenient access to mass transit and area amenities. Constructed across two interconnected towers, 10 PO has been substantially renovated, yet is an recognizable office asset with a distinct sense of history and prominent street-level visibility."	https://www.lasalle.com/company/news/lasalle-acquires-10-post-office-square-in-downtown-boston		
383	102 Broad Street	-81.971405	33.477041	"Roger Dashow Trust,"	102	102 Broad Street	Boston	MA	30901	11/1/83		Building		Original Location					"Number ·102 Broad Stree.t is one of the survivors of the Broad Street Association buildings. The Broad Street Association buildings played an integral role in the history of the Port of Boston through the first half of the nineteenth century. Number 102 Broad Street stands as re:tJresentative of 'the fevr (19) remain:in1;t] commercial Federal period structures within the Central Business District. Boston's earliest commercial activity was centered along the shores of the Great Cove, the innermost section of Boston Harbor. The harbor soon became cluttered by small wharves which were built by individuals involved with maritime enterprises."	http://bit.ly/1g1yeIP		
1	109-113 Broad Street	-81.949667	33.470361	Unknown	109-113	Broad Street	Boston	MA	30901	Unknown		Building										
2	115-119 Broad Street	-71.052311	42.357202		15-119	Broad Street	Boston	MA	2110			Building		Original Location					Under study for landmark	"http://www.mattrocheleau.com/clips/bostonglobe/pdfs/02706%20-%20All%20of%20Boston%E2%80%99s%20historic%20landmarks,%20and%20the%20ones%20that%20failed%20to%20make%20the%20cut%20(1%20of%201)%20-%20The%20Boston%20Globe%20-%203-17-17.pdf"		
3	1203-5 Adams Street	-71.067263	42.272427		1203-1205	Adams Street	Dorchester	MA				Building										
4	123-125 Broad Street	-71.052144	42.35691			Broad Street	Boston	MA				Building										
5	127-133 Broad Street	-71.05199	42.356944			Broad Street	Boston	MA				Building										
6	144-146 Maverick Street	-71.038183	42.369955		144-146	Maverick Street	East Boston	MA				Building										
99	20-30 Bromfield Street	-71.060071	42.356605		20-30	Bromfield Street	Boston	MA		3/8/83		Building										
81	25-27 India Street	-71.05314	42.358301		27-25	India Street	Boston	MA		11/1/83		Building								http://bit.ly/1oHzSZu		
50	39 Princeton Street (Architectural Conserv. Dist)	-71.037477	42.37678		39	Princeton Street	East Boston	MA		3/26/91		Building								http://bit.ly/1lGiOhU		
51	40 Orchardhill Road	-71.111479	42.299759		40	Orchardhill Road	Jamaica Plain	MA				Building										
89	41 Princeton Street	-71.037397	42.376863		41	Princeton Street (Architectural Conservation District)	Boston	MA				Building								http://bit.ly/1g1X4Ml		
90	5-7 Broad Street	-71.054637	42.359049		7-May	Broad Street	Boston	MA		11/1/83		Building								http://bit.ly/1lGjC6y		
82	50-52 Broad Street	-71.053627	42.358118		50-52	Broad Street	Boston	MA		4/9/85		Building								http://bit.ly/1ilHsAg		
214	54th Regiment & Robert Gould Shaw Memorial	-71.063586	42.357457			Beacon & Park St	Boston	MA	2108	1897		Statue		Original Location					"Robert G. Shaw was the only son of Francis George and Sarah Blake (née Sturgis) Shaw. Robert Gould Shaw was an American officer in the Union Army during the American Civil War. Born into a prominent Boston abolitionist family, he accepted command of the first all-black regiment in the Northeast. SHaw himself was white. The Shaws were a wealthy and well connected New York and Boston family. They were also radical abolitionists and Unitarians. The Robert Gould Shaw and Massachusetts 54th Regiment Memorial, located across Beacon Street from the State House, serves as a reminder of the heavy cost paid by individuals and families during the Civil War. In particular, it serves as a memorial to the group of men who were among the first African Americans to fight in that war. Although African Americans served in both the Revolutionary War and the War of 1812, northern racist sentiments kept African Americans from taking up arms for the United States in the early years of the Civil War. However, a clause in Abraham Lincoln’s 1863 Emancipation Proclamation made possible the organization of African American volunteer regiments. The first documented African American regiment formed in the north was the Massachusetts 54th Volunteer Infantry, instituted under Governor John Andrew in 1863. African American men came to enlist from every region of the north, and from as far away as the Caribbean. Robert Gould Shaw was the man Andrew chose to lead this regiment."	https://africanamericantrailproject.tufts.edu/19th-century-sites		
215	64 Broad Street	-71.053416	42.357869		64	64 Broad Street	Boston	MA				Building										
216	65 Pleasant Street	-71.060133	42.314372		65	Pleasant Street	Dorchester	MA				Building										
217	66 Broad Street	-71.053225	42.357934		66	66 Broad Street	Boston	MA		11/1/83		Building								http://bit.ly/1e9FoQr		
218	68 Broad Street	-71.053262	42.357925		68	68 Broad Street	Boston	MA		11/1/83		Building										
219	7-9 Broad Street	-71.054674	42.358966		9-Jul	7-9 Broad Street	Boston	MA				Building								http://bit.ly/1mVFgGJ		
220	72 Broad Street	-71.053005	42.357749		72	72 Broad Street	Boston	MA		11/1/83		Building								http://bit.ly/1hUBgmm		
387	Abiah Franklin and Mother Goose	-71.061721	42.3574758										Women's Heritage Trail						"Abiah Franklin (1667-1752), mother of Benjamin Franklin, was honored by her famous son when he erected the central high granite obelisk in memory of his parents. She raised 13 children, including Benjamin and Jane Franklin Mecom and was called ‚ a discreet and virtuous woman.Tradition states that Elizabeth Foster Vergoose, known as ‚'Mother Goose' , is buried here. Widowed, she lived with her eldest daughter and entertained her grandchildren with nursery rhymes. Her son-in-law, printer Thomas Fleet, reportedly published them as Songs for the Nursery or Mother Goose‚ Melodies."			
393	"Abigail Adams, Mercy Otis Warren, and Brattle Square"	-71.05932	42.3601283										Women's Heritage Trail						"The Boston City Hall Plaza covers the same ground as the eighteenth century Brattle Square. From 1768 to 1771, Abigail Adams (1744-1817) lived in two locations in and near Brattle Square with her husband, attorney John Adams, and their family. It was a period of increasing family responsibilities for her. Her five children were born between 1765 and 1772. The family lived there during the Boston Massacre, which took place nearby‚Äîjust outside the Old State House‚Äîin 1770. After John Adams successfully defended the British soldiers involved in the incident, his health declined. The family moved back to their farm in Braintree (now Quincy) the following year, but returned to Boston in 1772. They were in Boston during the Boston Tea Party in 1773, but by 1774 the Adamses had moved back to the farm permanently because John began traveling for the new Republic‚Äîfirst as a delegate to the Continental Congress in Philadelphia. Abigail Adams became well known as a critical thinker and correspondent with her husband, who was away from the farm for much of the next ten years. She managed the farm, their large family, and their financial affairs. Abigail Adams is one of three women chosen to be portrayed in the Boston Women‚Äôs Memorial.Mercy Otis Warren Among Abigail Adams‚Äôs correspondents was Mercy Otis Warren (1728-1814), probably the first published women historian in the U.S. In 1805, she published a three-volume history of the American Revolution. She also published several satirical plays."			
1	African Meeting House	-71.067634	42.359956	Museum of Afro American History	8	Smith Court	Boston	MA	2114		1806	Building	National	Original Location						https://npgallery.nps.gov/AssetDetail/NRIS/71000087		
439	African Meeting House	-71.065446	42.3599562										Women's Heritage Trail						"The church, the oldest standing African American church building in America, was built in 1805-6 in the heart of Boston‚Äôs African American community on the north slope of Beacon Hill.<br>Among women abolitionists active in this church before the Civil War was Maria Stewart (1803-79) who challenged other free African American women:¬†‚ÄúO, ye daughters of Africa, Awake! Awake! Arise! No longer sleep nor slumber, but distinguish yourselves. Show forth to the world that ye are endowed with noble and exalted faculties.‚Äù Stewart is credited as the first American-born woman to speak in public before an audience that included both men and women.<br><br>Susan Paul, whose father was the minister, joined other African American women to form a temperance society in the 1830s. William Lloyd Garrison founded the New England Anti-Slavery society here in 1832 and the church became a center for abolitionist activity. Escaped slaves William and Ellen Craft (1826-97) were active in abolition meetings here."			
216	"African Meeting House / The Museum of African American History, Boston and Nantucket"	-71.065122	42.360012		46	Joy St	Boston	MA	2114		1860	Building		Original Location						https://africanamericantrailproject.tufts.edu/19th-century-sites		
